Year,Cluster,Indicator,Attribute,Province,Area Council,Intensity 2,Intensity 3,Intensity 4,Intensity 5
2025,Education,Number Schools,secondary,Torba,Ureparapara,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Torba,Motalava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Torba,East Vanualava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Torba,West Vanualava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Torba,Mota,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Torba,East Gaua,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Torba,West Gaua,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Torba,Merelava,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,Luganville,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,North West Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,Big Bay Coast,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,Big Bay Inland,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,West Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,South Santo 1,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,South Santo 2,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,East Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,South East Santo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,Canal Fanafo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,West Malo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Sanma,East Malo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Penama,West Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Penama,North Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Penama,East Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Penama,South Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Penama,North Maewo,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Penama,South Maewo,0.1,0.5,0.7,0.8
