Year,Cluster,Indicator,Attribute,Value,Province,Area Council
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Tongariki
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Nguna
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Emau
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Malorua
2025,Education,Number Schools,secondary,1.00E+07,Shefa,North Efate
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Mele
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Tanvasoko
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Ifira
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Pango
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Erakor
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Eratap
2025,Education,Number Schools,secondary,1.00E+07,Shefa,Eton
2025,Education,Number Schools,secondary,1.00E+07,Tafea,North Erromango
2025,Education,Number Schools,secondary,1.00E+07,Tafea,South Erromango
2025,Education,Number Schools,secondary,1.00E+07,Tafea,Aniwa
2025,Education,Number Schools,secondary,1.00E+07,Tafea,North Tanna
2025,Education,Number Schools,secondary,1.00E+07,Tafea,West Tanna
2025,Education,Number Schools,secondary,1.00E+07,Tafea,Middle Bush Tanna
2025,Education,Number Schools,secondary,1.00E+07,Tafea,South West Tanna
2025,Education,Number Schools,secondary,1.00E+07,Tafea,Whitesands
2025,Education,Number Schools,secondary,1.00E+07,Tafea,South Tanna
2025,Education,Number Schools,secondary,1.00E+07,Tafea,Futuna
2025,Education,Number Schools,secondary,1.00E+07,Tafea,Aneityum
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Torba,Torres
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Torba,Ureparapara
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Torba,Motalava
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Torba,East Vanualava
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Torba,West Vanualava
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Torba,Mota
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Torba,East Gaua
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Torba,West Gaua
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Torba,Merelava
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Sanma,Luganville
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Sanma,North West Santo
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Sanma,Big Bay Coast
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Sanma,Big Bay Inland
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Sanma,West Santo
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Sanma,South Santo 1
2025,Emergency Telecommunications,Number Towers,digicel,5.00E+07,Sanma,South Santo 2
