"Region","total_households","kava_households","kava_production","coconut_households","coconut_production","cocoa_households","cocoa_production","coffee_households","coffee_production","vanilla_households","vanilla_production","tahitian lime_households","tahitian lime_production","pepper_households","pepper_production","noni_households","noni_production"
"Sanma",15197.264125121,8211.81323078178,79023874.246081,7240.76806223632,468613740.48744,1981.86457405617,1194503.6823273,20.1187307017991,154.893253004271,197.865536048061,1000.0971841303,293.847752928046,84230.8039257417,275.922446752824,1028.0327714509,717.804620683566,3342087.31565779
"Luganville",4011.10961674314,646.523889013337,0,1117.83204138155,0,128.639401587559,0,3.32688107554032,0,3.32688107554032,0,69.8645025863468,0,3.32688107554032,0,76.5182647374275,0
"North West Santo",313.385436919143,216.319151147727,5668705.26534757,257.918987906905,11248726.6973441,258.843428723776,653448.906451999,0,0,1.84888163374126,0.774696684551089,41.5998367591783,5603.63935158621,2.77332245061189,15.7091272145082,12.9421714361888,15509.4276247128
"Big Bay Coast",899.778336226117,610.389355412157,7623520.3368718,436.347584011542,87763426.892069,134.260795080475,125985.861639459,0,0,3.72946653001318,3.10310004038076,2.48631102000879,144.811335217769,0,0,18.6473326500659,16682.265817087
"Big Bay Inland",555.824444268251,599.708754256643,20934446.1778206,260.158787488116,27964766.0027996,107.483442718095,55354.0482788793,0,0,21.9852496468831,134.878998449968,15.8782358560822,6544.76152816301,12.2140275816017,10.6199934734943,63.5129434243288,557272.216380627
"West Santo",506.606466711524,435.820118182457,5120362.28927652,231.690932393441,13461552.8185066,87.853067301602,105034.752568596,0,0,6.02913206971779,125.304617099378,0,0,0,0,0,0
"South Santo 1",1320.33984160773,1071.50783554012,23175267.3381419,769.691714443411,34499123.9020792,84.8479055291949,34529.121228677,0,0,9.69690348905084,26.6951614131347,2.42422587226271,919.875463603096,0,0,55.7571950620423,94615.7619706041
"South Santo 2",1263.23800890242,930.708901718049,3556802.43552301,378.634855029653,23105109.5376473,157.560955802662,60422.3029060489,3.66420827448051,4.3508749470559,13.4354303397619,22.927219286225,0,0,0,0,107.483442718095,441666.774299443
"East Santo",1761.34327423859,1499.22210980466,2273983.79528826,1336.95662705984,130796824.177115,262.121164433932,24970.3171756402,0,0,11.0950757432352,13.4119767956314,19.4163825506616,4871.33119463972,2.7737689358088,15.8160103722069,120.658948707683,1132185.93929235
"South East Santo",2215.88663450749,790.905235623479,2948963.81637738,1041.02056654714,92869399.9877076,98.6941576077161,7284.39760645179,0,0,2.70394952349907,1.0073497122146,10.8157980939963,1028.3361645524,2.70394952349907,1.20672100942373,73.0066371344749,63198.6025700632
"Canal Fanafo",1057.72433363789,1171.14804196634,7695227.86455034,391.044346215881,3411258.34589769,18.8574684723394,119.426937202505,0,0,1.98499668129889,28.100455812354,103.219827427542,41143.7507185883,0,0,23.8199601755866,27145.040314734
"West Malo",776.294122501475,154.323530376799,17689.5149539386,627.816180396524,13204036.6411176,457.125002858549,63405.3368450916,2.33823530873938,39.6625895828221,85.3455887689874,352.723014849999,1.16911765436969,302.877956814278,79.500000497139,179.45518941246,88.8529417320965,611692.321582116
"East Malo",515.73360885726,85.2363077400074,8905.41192971731,391.655439362313,30289515.4851568,185.577783940269,63949.210689253,10.7894060430389,110.879788474393,36.6839805463323,291.170593986461,26.9735151075973,23671.4202125769,172.630496688623,805.225729968802,76.6047829055763,382118.965806052
"Penama",9200.13931705135,7614.76993481271,57470701.2819984,2773.11750382611,25747934.689636,210.341579640779,39915.6533878678,7.7696901359244,21.434514943404,29.7477206508261,30.3060001033239,5.75866259135851,8835.2744468072,6.96435553784649,2.27063349696303,29.9756665329527,242170.438083037
"West Ambae",606.924608004948,216.645004432214,162216.929513554,246.11509694689,1693370.10063631,88.4102775440284,17527.4888560111,0,0,1.59297797376628,0.564232798308013,0,0,0,0,5.57542290818197,4231.7459873101
"North Ambae",593.436796206294,434.60750720834,603527.524872494,184.905739430457,809111.012571688,20.5450821589397,905.107234402227,0,0,3.95097733825764,9.35421830769765,0,0,0,0,0,0
"East Ambae",476.457889720776,261.780095302858,807245.528712299,78.8057726344243,3267878.04260644,0.905813478556601,320.747067816761,0,0,0.905813478556601,0,0,0,0,0,3.6232539142264,6062.11958173679
"South Ambae",236.189949175808,173.558109618007,292712.791253304,110.171669583605,6129671.6668612,16.6012104852007,2366.072459058,0.754600476600031,1.25189018997778,0.754600476600031,0,0,0,0.754600476600031,0,0.754600476600031,1261.9053114976
"North Maewo",767.461922591376,653.31410499076,1110020.17871195,91.0753863834703,2658112.86926462,24.2867697022587,7387.9990945171,0,0,2.42867697022587,4.68897775348608,0,0,2.42867697022587,0,3.64301545533881,10327.1875887754
"South Maewo",620.864206151392,542.456097642585,5106544.30176399,222.423001688258,2291598.68588466,9.60099287862982,5371.70444648232,0,0,14.4014893179447,10.3491553556081,1.60016547977164,344.971845186938,0,0,0,0
"North Pentecost",1683.41539017212,1405.78713574823,5691031.43549586,430.559072538787,641929.292295401,3.52917272572776,5.47098828660853,0,0,0,0,0,0,2.35278181715184,1.32215550259706,2.35278181715184,229.781508037558
"Central Pentecost 1",1095.50324205733,1005.5205768036,5317376.30157436,441.343548625444,3343384.93014003,7.14148136934375,1138.17359323916,4.28488882160625,19.1592554861925,5.713185095475,5.34941588822405,1.42829627386875,132.786919211235,1.42829627386875,0.948477994365967,9.99807391708125,213202.677485559
"Central Pentecost 2",1539.83327247302,1483.8641552998,32757862.6264541,487.340849532684,4159996.07130523,34.1275104714765,4820.069248671,2.73020083771812,1.02336926723376,0,0,2.73020083771812,8357.51568240903,0,0,2.73020083771812,6447.22638357268
"South Pentecost",1580.05204049829,1437.23714776632,5622163.66364653,480.377366462093,752882.01807047,5.19326882661722,72.820399383495,0,0,0,0,0,0,0,0,1.29831720665431,407.794236547572
"Malampa",10353.2774827892,5119.3051560152,22999017.0507592,4568.10338403735,179113210.604877,3181.54393456944,2370661.45662549,3.06943752455532,1.33279344342024,77.024542282218,363.398586735162,4.72656541571511,575.020941288765,190.856977161789,715.184238580498,69.3196493208448,106571.901770892
"North West Malekula",1188.86767401795,525.615154536459,5255422.05154138,614.381281203906,30031039.5725298,515.641432438993,588690.787697825,0,0,16.9553275656922,42.8121520679774,0.997372209746601,184.30815773422,153.595320300977,684.244035588293,11.9684665169592,14099.5740666678
"North East Malekula",1539.62290420528,62.0360877152303,300229.286142195,1036.75461742271,14575537.4236904,790.490148007708,252923.87894161,0.939940722958036,0,2.81982216887411,10.929630726556,0,0,7.51952578366429,9.94692270070341,4.69970361479018,4077.03988286663
"Central Malekula",1541.65738237234,167.526768884461,95721.2251064416,826.328356951577,23857255.8679766,663.940446008356,438870.221810077,1.02777158824823,1.33279344342024,13.361030647227,29.108208804298,0,0,14.3888022354752,5.79765147887804,14.3888022354752,22838.7484464492
"South West Malekula",935.199541294908,798.838643769698,2902196.2791907,362.913254830857,17783996.6090158,300.638199268166,109354.171025654,0,0,13.9582021088791,194.693797492293,0,0,0,0,2.14741570905833,2910.01405504496
"South East Malekula",1153.86214879327,743.553767363171,2329581.98958085,814.368411873949,76886614.1511261,776.878305956478,896363.504000716,0,0,13.5380938035311,60.5747603572765,0,0,6.24835098624513,0.856206666800246,20.8278366208171,8255.32132302707
"South Malekula",1202.44366657817,817.471583602548,3190019.73412193,462.204136658999,12494571.1914048,98.6193916264702,81802.469890259,0,0,3.56455632384832,1.45362007801438,0,0,2.37637088256555,0,5.94092720641387,763.150540957547
"North Ambrym",1007.7042284521,785.667703538928,5848704.92230318,47.5792553385375,1183530.07800169,9.75984724893078,0,0,0,1.21998090611635,1.02204522849135,1.21998090611635,238.477219981314,1.21998090611635,4.59920352821106,0,0
"West Ambrym",385.450635837244,164.687178252053,0,194.791286104579,0,3.54165974735598,0,0,0,0.59027662455933,0,0.59027662455933,0,0,0,0,0
"South East Ambrym",605.948867341972,553.066057101223,2895535.40939853,93.6466431346692,2208236.97610473,22.034504266981,2656.42325934869,1.10172521334905,0,11.0172521334905,22.8043719802549,0,0,5.50862606674525,9.74021861761186,5.50862606674525,25403.5799694022
"Paama",792.520433895933,500.84221125143,181606.153374038,115.13614051757,92428.7350266046,0,0,0,0,0,0,1.91893567529283,152.235563573231,0,0,3.83787135058567,28224.473486477
"Shefa",24030.8306358174,4612.68455705313,10763617.5988864,8903.72089480919,53124493.3518935,782.188161889237,467539.8240624,91.3866288322029,2686.29422686944,192.476523389506,384.191571991149,968.037367703305,927328.690226416,16.2611471195652,12.9152457474609,621.129716955086,677314.947997769
"Port Vila",8958.28660829032,370.18572284984,138506.068070926,2462.25312857374,3209733.44224101,116.80160212056,119.473768312351,10.3614324461787,9.89191415059253,34.8520909553284,22.8156357551329,285.410366472014,195590.120704898,3.76779361679226,0.995614735936261,299.539592534985,197154.841670537
"Vermali",620.505261352837,391.523396264697,1960831.39662962,183.897352790994,20057462.8402901,84.2368519236165,58922.6148282391,2.37286906827089,6.84138091762848,0,0,0,0,0,0,1.18643453413544,15393.1070646641
"Vermaul",467.791975723459,541.470715868872,2571342.02514869,265.690599712055,5193538.72139357,240.466808600151,402674.46419959,20.1790328895232,1326.64359381421,8.40793037063465,8.32915418204078,0,0,0,0,3.36317214825386,10747.6194324888
"Varisu",610.02408994337,459.481664313568,1650660.86408762,146.61523191772,308178.603270058,5.23625828277571,118.923693378072,0,0,6.54532285346963,2.68537372144034,0,0,0,0,0,0
