"Region","total_households_affected","elec_battery lamp_damaged","elec_generator_damaged","elec_main grid_damaged","elec_no access_damaged","elec_solar system_damaged","cook_bottle gas_damaged","cook_open fire_damaged","cook_solar power_damaged","cook_electricity_damaged","cook_wood stove_damaged"
"Malorua",1023.64421567205,39.9139787012707,0,333.566822003477,8.55299543598661,324.06349374127,77.9272917501001,468.514083326821,43.7153100061537,107.387609362943,3.80133130488293
"North Efate",872.350722672883,12.284341850719,32.4657606054716,257.093725875762,45.6275554455277,257.093725875762,42.1177434881794,473.824614242018,14.0392478293931,63.1766152322691,7.89707690403366
"Mele",887.60272195239,7.58550605886059,4.13754875937851,513.745637622832,22.0669267166854,73.0966947490206,159.295627236073,302.730650894528,14.4814206578248,137.228700519387,2.75836583958568
"Tanvasoko",1904.00050406432,29.5448404575034,4.08798146378313,919.807041060649,78.7552755463082,297.941824688326,433.060862215949,637.211612057663,30.1798076134642,156.550444362798,49.86071423652
"Ifira",245.525974562536,0.78485079292011,0,165.603517306142,0.78485079292011,3.92425396460054,60.4335110548483,44.7364951964461,0.78485079292011,59.6486602619281,3.92425396460054
"Pango",486.365911492837,0.693752288198157,0,286.519695025839,4.16251372918894,43.0126418682857,109.612861535309,158.869273997378,10.4062843229723,52.7251739030599,2.77500915279262
"Erakor",3298.47690356345,74.8630423505013,9.85040030927652,1154.4669162472,151.696164762858,912.147068639002,457.05857435043,1464.75452598942,52.2071216391655,184.202485783471,112.294563525752
"Eratap",1825.63717105486,25.3905375377028,2.53905375377028,496.808184487719,286.913074176042,462.954134437449,209.04875906042,940.296240146263,39.7785088090678,48.2420213216354,25.3905375377028
"Eton",896.651622087837,13.3193754980989,2.49738290589355,44.952892306084,35.795821651141,530.277637018065,27.4712119648291,556.916388014262,27.4712119648291,9.15707065494305,5.82722678041829
"Tafea",10905.5906037098,1072.98259149,18.1446181347836,833.626008779875,1186.39715608598,2312.66784316391,87.1377531432745,4748.93668885396,348.400904018167,162.237773965442,69.8633195093577
"North Erromango",374.158737182642,6.2778311607826,1.25556623215652,0,59.6393960274345,116.767659590556,0.62778311607826,180.17375431446,0.62778311607826,0,1.88334934823477
"South Erromango",151.382492979637,3.94910851251228,0.65818475208538,0,44.0983783897204,26.3273900834151,0,30.9346833480129,0.65818475208538,0,43.440193637635
"Aniwa",140.043923990882,24.6798718508521,0.57395050815935,0,1.1479010163187,43.0462881119513,0,66.5782589464845,2.86975254079676,0,0
"North Tanna",1021.95989506718,243.435786281824,1.17601829121654,0,121.717893140912,144.650249819635,0,475.111389651483,34.692539590888,0,1.17601829121654
"West Tanna",3601.9013798503,117.363496060107,2.5889006483847,833.626008779875,239.904793416982,589.40638094892,75.9410856859515,1451.51029686103,68.1743837407975,162.237773965442,21.5741720698726
"Middle Bush Tanna",1581.98340313245,309.598406094983,1.19305744159916,0,314.370635861379,164.641926940684,2.9826436039979,730.74768297949,54.284113592762,0,1.78958616239875
"South West Tanna",1424.05385466799,22.5348947746663,8.3701037734475,0,191.224678516455,488.68528954205,2.57541654567616,624.53851232647,81.769475325218,0,0
"Whitesands",1782.97527561199,262.110367972519,1.23056510785221,0,178.43194063857,448.540981812127,1.84584766177831,817.095231613865,70.1422111475755,0,0
"South Tanna",403.851005201499,29.7507793800477,0,0,1.26599061191693,170.908732608785,3.16497652979232,189.898591787539,8.8619342834185,0,0
"Futuna",87.3229637301334,1.66329454724064,0,0,0,41.1665400442057,0,32.4342436711924,10.3955909202539,0,0
"Aneityum",335.957672295088,51.6187548544675,1.09827137988228,0,34.595548466292,78.5264036615835,0,149.914043353932,15.9249350082932,0,0
