"Region","total_households","roof_concrete","roof_metal","roof_wood","wall_concrete","wall_metal","wall_wood"
"South Erromango",151.382492979637,0,48.7056716543181,3.94910851251228,9.21458652919531,13.1636950417076,73.7166922335625
"Aniwa",140.043923990882,3.44370304895611,78.0572691096717,1.1479010163187,28.6975254079676,86.0925762239027,3.44370304895611
"North Tanna",1021.95989506718,15.288237785815,398.670200722408,32.9285121540632,85.8493352588076,174.050707100049,27.0484206979805
"West Tanna",3601.9013798503,198.482383042827,1506.7401773599,226.097323292265,1095.96794114953,738.699651672437,103.556025935388
"Middle Bush Tanna",1581.98340313245,36.9847806895741,544.034193369218,122.884916484714,283.9476711006,294.685188074993,36.9847806895741
"South West Tanna",1424.05385466799,84.9887460073132,342.530400574929,91.4272873715035,243.376863566397,139.072493466512,178.991449924493
"Whitesands",1782.97527561199,33.2252579120095,275.646584158893,24.6113021570441,174.740245315013,363.0167068164,114.442555030255
"South Tanna",403.851005201499,8.86193428341849,197.49453545904,1.26599061191693,88.6193428341849,103.811230177188,58.2355681481786
"Futuna",87.3229637301334,1.66329454724064,54.888720058941,0.831647273620318,4.98988364172191,34.9291854920533,14.9696509251657
"Aneityum",335.957672295088,3.29481413964686,177.919963540931,2.19654275976457,20.8671562177634,84.566896250936,58.2083831337611
