"Region","total_population","employ_government","employ_private","employ_employer","employ_self-employed","employ_voluntary","employ_unpaid","employ_own consumption"
"Penama",41745.4100652423,796.837598002056,561.787070436631,208.849892036744,1850.51392628572,598.725238611398,1789.88676463176,3764.49263217526
"West Ambae",2645.10505223571,58.3703215535557,53.0416617701774,37.3051062650043,193.346617620421,52.8798315085677,42.8210411326675,87.4164938701487
"North Ambae",2567.26198287333,60.3833954083604,18.2101724160429,0,279.543109078102,10.1589290061182,24.973252202847,144.973100592698
"East Ambae",1879.53843588359,126.969720532261,43.4719131644236,6.2929102749588,59.5753518228668,36.3652098280383,96.8979276639044,92.8348995828924
"South Ambae",913.813235198296,8.34056681507336,2.02371720584213,0,6.02829787911511,2.36868709005396,54.1059901097519,359.006907845755
"North Maewo",3350.35988042659,68.0029551663245,83.7893554727927,3.64301545533881,26.7154466724846,35.2158160682752,274.440497635524,1170.62229964887
"South Maewo",3032.31358416725,65.6067846706371,70.407281109952,70.407281109952,184.019030173738,6.40066191908655,33.6034750752044,400.041369942909
"North Pentecost",7934.75162543353,151.823906401279,92.8847601834621,19.9255825208865,248.881097783279,34.2102717414723,131.571241484287,368.130576573649
"Central Pentecost 1",5029.19747204516,90.5269679703137,32.5387510522226,14.2957141099971,380.572492513803,33.7915992579687,888.940666597912,422.646254906022
"Central Pentecost 2",6762.75439616066,55.0328224701853,53.9722066583274,19.6742595573038,155.621061634862,349.969619305737,141.510174241475,63.6229725276911
"South Pentecost",7630.31440081816,111.780157014066,111.447251403388,37.3060227433029,316.21142110705,37.3646128860796,101.022498488185,655.197756684625
"Malampa",47625.9886857346,1125.72716917681,815.398007002206,237.963616879248,3224.94527059778,284.41560545537,3559.86439821709,4214.33598456439
"North West Malekula",5488.43875478311,108.961919632573,40.3979149131376,25.8764256713231,388.093737542878,23.5662723971516,480.471566072102,957.498927381249
"North East Malekula",6406.6908905057,132.061217012654,141.62930097272,10.7733821376287,501.066441529027,63.812711780114,319.094623828166,557.51086396762
"Central Malekula",6582.92043905141,319.338242941685,368.84515624325,87.5969812493989,433.767860089801,16.9723239910032,302.047032609306,510.145792275298
"South West Malekula",4053.30947912852,47.3289243929045,30.3457531845206,4.78949644913776,388.195874781088,4.41832886379363,8.45904604416702,222.324533898139
"South East Malekula",5529.91817138101,97.6143649701726,33.0817012556017,4.2197348878113,674.425043386556,77.9774590623896,229.516932071605,35.0932881461702
"South Malekula",5329.04745680728,90.6124567668014,41.7707343560363,10.9407588372015,236.887254669951,2.37054651128872,54.4750898447856,54.5278201366705
"North Ambrym",4513.88336760198,115.623309982721,41.2013487848953,33.5310343546199,324.211118691475,3.55037315182096,404.695363411144,1074.8735457674
"West Ambrym",5559.5187269909,123.351473117307,43.6890641616417,15.2205690002525,98.1652504094125,29.3519944433326,1589.01592202322,589.710370155616
"South East Ambrym",2537.43817757296,36.793510601783,53.8762119526108,10.5124316005094,23.6529711011462,52.5621580025471,148.488096357196,157.686474007641
"Paama",1624.82322191172,54.0417497582133,20.5608211777916,34.5028026913648,156.479718396442,9.83343725192826,23.6007259553987,54.9643688285898
"Shefa",113793.897787538,5639.24751551571,13744.4059461277,1888.71391521631,7986.43706764551,560.133060496281,1640.91455967472,1598.22351653236
"Port Vila",38801.5043907089,2948.13594714772,6445.59579644388,1306.27387296212,1722.35401889744,116.841012259989,282.990260395805,192.641629394808
"Vermali",2829.45074358279,76.4303562972461,13.2381359224257,7.17845941884739,453.139795930474,7.23139048358336,7.16340789182021,221.281482442625
"Vermaul",2239.22502473362,35.5799510543319,11.6799117067343,2.7142394580787,392.429563756796,2.51713308439595,0,17.5346744675283
"Varisu",1699.16581276072,35.344743408736,3.92719371208178,6.54532285346963,15.7087748483271,0,0,7.85438742416356
"South Epi",2557.04851226475,32.8638775660073,8.66314950023968,1.56700747529782,4.47222786730312,1.33033384578208,24.0234890528722,13.2751999832109
"North Tongoa",1508.90770450048,38.3080578433415,14.1565647071408,4.78148741827167,365.310924613563,2.79486690150281,0.821562417300868,4.17643034005188
"Tongariki",1144.18153201921,30.3957143230911,10.8556122582468,4.34224490329873,175.860918583598,5.42780612912341,37.9946429038639,146.550765486332
"Makimae",1001.72014723783,29.7410136578986,20.666192147243,0.848639634275508,23.8300555815871,0.975284499561429,5.96924993437571,4.70018366149147
"Nguna",1870.63754644804,41.8019563452076,41.8019563452076,18.8108803553434,51.2073965228793,2.09009781726038,31.3514672589057,22.9910759898642
"Emau",807.585724309822,19.7239389926415,1.09577438848008,3.28732316544025,21.9154877696017,2.19154877696017,61.3633657548847,122.726731509769
"Malorua",5055.7706354943,166.987053750214,496.888306281126,70.5961528049687,746.690077744861,10.8609465853798,147.9803972258,58.3775878964164
"North Efate",4405.19640161633,122.144982422648,153.962920946968,17.3350571840531,219.769883003528,16.1460830632407,98.0014754290006,102.884529901368
"Mele",6888.0832089431,150.958287566319,969.399439285454,35.584689267788,644.843527593934,251.109448768152,8.70706674368439,30.2483426986309
"Tanvasoko",9144.25681252584,558.629982264061,1448.90895586513,102.949889627425,378.798848221633,23.3626514303991,11.8069750861529,29.46048924279
"Ifira",1410.42274951096,98.998325301626,72.8391105104439,53.6851331743204,44.6183180663401,19.8858933417869,8.27926321705841,10.2409489022322
"Pango",2204.51295765632,84.1687660369129,461.026819448773,8.26659367444155,61.4492733184278,7.49815616937915,3.82077228050358,6.64467885130462
"Erakor",16493.9106462183,673.469302039336,2313.89349445194,126.56313519232,976.993376442409,47.548339056162,529.334279305333,189.422804380154
"Eratap",9125.80659223213,419.156394662634,982.528052955666,84.5934385349878,1172.26853655874,36.4215206032352,205.842810400496,143.323258148179
"Eton",4606.5106447749,76.4088648357398,273.278559250483,32.7903481115614,514.776062324071,5.90054768038791,175.464074376863,273.888315811441
"Tafea",61170.3354717748,1328.55301316216,1175.52416274149,400.391323427692,1645.48139610917,202.071947381553,390.35610607735,2045.09987468845
