"Region","total_households","island cabbage_households","island cabbage_production","banana_households","banana_production","taro_households","taro_production","kumala_households","kumala_production","manioc_households","manioc_production","yam_households","yam_production"
"East Malo",515.73360885726,496.31267797979,63415.6943315883,501.707381001309,106561.808862481,702.390333401833,97622.984797233,179.104140314446,19309.6545359568,373.313449089146,35982.7143447644,465.023400454977,139934.873750685
"Penama",9200.13931705135,7822.85407961802,1103954.64848057,7803.75073659389,1298897.72634747,12856.7517590639,2932094.85424207,1934.138187241,238151.44097956,6365.06189246057,1169522.77579797,5268.92040812334,2749300.09917315
"West Ambae",606.924608004948,498.602105788845,37722.9928011651,482.672326051182,57575.9268330603,641.173634440927,70850.7124835376,121.066326006237,8345.94347497273,350.455154228581,36726.1815241538,242.132652012474,30972.3503928364
"North Ambae",593.436796206294,459.103566705538,40119.2029641258,460.683957640841,70542.065747263,799.677813263346,146343.713964293,89.2920878446226,13681.2660511118,326.350728140081,52005.4118446164,162.780266336215,14477.3850938116
"East Ambae",476.457889720776,324.281225323263,34004.0003945946,336.962614023056,50382.949412658,522.654377127159,66636.8070742721,111.415057862462,12065.4355343739,279.89636487399,35953.6079884741,206.525473110905,20636.8663433307
"South Ambae",236.189949175808,202.987528205408,29135.2403913529,222.607140597009,81530.6005124935,335.042611610414,63239.7337028036,94.3250595750039,57405.4246614314,179.594913430807,50841.7643953777,135.073485311406,20453.381923857
"North Maewo",767.461922591376,564.667395577516,49800.3747013543,535.523271934805,67477.2748905941,943.541002932752,101908.179687693,253.796743388604,14319.4899890505,365.515884018994,24416.9939114458,284.155205516427,36070.8191085247
"South Maewo",620.864206151392,542.456097642585,46344.5033162567,523.254111885325,50893.2035035071,974.500777180927,160089.605745137,187.219361133282,19605.8998681243,454.446996255145,68761.1023611181,300.831110197068,48527.6822793684
"North Pentecost",1683.41539017212,1428.13856301117,147571.702548836,1461.07750845129,222707.520182976,2316.31369898599,601125.385089943,208.221190817938,21519.2205939935,1177.5672994845,341765.34361338,1119.92414496428,849742.95869945
"Central Pentecost 1",1095.50324205733,1045.51287247192,515279.639999199,1018.37524326842,292374.032631275,1589.69375281592,405202.319102667,171.39555286425,31944.7388502457,811.27228355745,212557.712449391,601.312731298744,353198.029453976
"Central Pentecost 2",1539.83327247302,1422.43463645114,106735.057373609,1401.95813016825,285571.194021584,2398.48143593537,875839.330300084,296.226790892416,31434.4926585304,1112.55684137013,180965.798755838,1060.68302545349,952163.233619637
"South Pentecost",1580.05204049829,1334.67008844063,97241.9339900721,1360.63643257371,119842.958612063,2335.6726547711,440859.06709164,401.18001685618,27829.5292977258,1307.40542710089,165528.858954171,1155.50231392233,423057.392258357
"Malampa",10353.2774827892,9190.20955755478,1240575.07476426,9747.31710015892,2882954.68113027,13569.4216550932,3937792.80513414,3946.83381274415,833934.373085658,7268.05998480509,1069616.9301574,7837.63332002738,2482686.47568405
"North West Malekula",1188.86767401795,1023.30388720001,92403.5531234737,1131.02008585265,306774.346114412,1299.57598929982,353011.865293876,311.180129440939,26023.6536286514,777.950323602349,108883.993642015,1058.21191454114,424721.035169588
