"Region","total_households","total_water","water_piped","water_well","water_tank","total_toilet","toilet_pit latrine","toilet_vip","toilet_flush","toilet_water sealed"
"South Maewo",620.864206151392,567.929900825753,471.670595601049,1.60432175374506,94.6549834709586,574.347187840733,447.605769294873,94.6549834709586,20.8561827986858,11.2302522762154
"North Pentecost",1683.41539017212,1446.15414949678,213.582172244161,7.15917895790481,1225.41279829471,1515.35954608986,1089.38839809452,374.663698797018,23.8639298596826,27.443519338635
"Central Pentecost 1",1095.50324205733,1075.14096220103,26.2585309628474,2.91761455142749,1045.96481668676,822.767303502554,761.497397922577,45.2230255471261,13.1292654814237,2.91761455142749
"Central Pentecost 2",1539.83327247302,1470.84021992365,457.466052653417,2.89535476362922,1010.4788125066,1414.38080203287,1171.17100188802,217.151607272191,11.5814190545169,14.4767738181461
"South Pentecost",1580.05204049829,1395.69099715338,1210.03163660181,1.29831720665431,184.361043344911,1106.16626006947,753.023979859497,253.17185529759,63.617543126061,36.3528817863205
"Malampa",10353.2774827892,9728.79065429938,4714.81773611595,1844.08482374296,3169.88809444047,9722.79872221174,4546.7986819954,2593.42061274707,737.171168381528,1845.40825908774
"North West Malekula",1188.86767401795,1042.82199313637,873.376493750116,30.3328363098843,139.112663076366,1047.00583262738,725.896151691713,186.180857350324,32.4247560553935,102.504067529954
"North East Malekula",1539.62290420528,1471.82184672257,458.189771084615,488.267874219272,525.364201418683,1469.81663984692,432.122081701244,135.351464105959,199.51808412656,702.825009913161
"Central Malekula",1541.65738237234,1390.80795857841,1004.23576182193,97.9742206655544,288.597976090927,1460.02887535299,444.078804538437,288.597976090926,235.35111703356,492.000977690067
"South West Malekula",935.199541294908,878.166706433742,483.887777014511,73.9272992661058,320.351630153125,929.691793801029,714.630559572357,114.251280683982,40.323981417876,60.4859721268138
"South East Malekula",1153.86214879327,1051.54682405994,900.13243529262,55.3445696873654,96.0698190799549,1047.36987540429,859.407185900031,108.600665046906,33.4155892452017,45.9464352121524
"South Malekula",1202.44366657817,1153.98104746954,401.226603689513,63.032578223126,689.721865556898,1092.16063421224,546.686399589035,77.5785578130782,67.8812380864434,400.014438723685
"North Ambrym",1007.7042284521,997.894678277368,128.601048997331,473.598093903633,395.695535376404,996.658129729316,362.308724579019,610.854982737323,7.41929128830756,16.0751311246663
"West Ambrym",385.450635837244,375.660774649215,41.3288536970401,228.233968177684,106.097952774491,381.829260275638,42.5625508223248,311.508524134406,20.9728511298412,6.78533418906628
"South East Ambrym",605.948867341972,602.446955056685,375.629276758451,111.608698845163,115.208979453071,517.240314002851,18.0014030395423,396.030866869932,96.0074828775593,7.20056121581694
