"Region","total_financial","water_piped_financial","water_well_financial","water_tank_financial","toilet_pit_latrine_financial","toilet_vip_financial","toilet_flush_financial","toilet_water_sealed_financial"
"Vermaul",68729924.0212665,30704394.7209273,8918473.03310172,1703827.68393585,4419303.05520862,18546874.2678434,2839712.80655975,1597338.45368986
"Varisu",61298912.1195992,32805158.1415898,687258.899614311,2790271.1324341,21167574.1081208,1832690.39897149,366538.0797943,1649421.35907434
"South Epi",48214353.1965681,21690940.2257876,3455194.01826705,2893724.99029866,15951479.0509995,3071283.57179293,767820.892948234,383910.446474117
"North Tongoa",31292388.4475556,7002884.28948318,3676514.25197867,2489525.36491127,6218561.24906104,10224211.0626454,1120461.48631731,560230.743158654
"Tongariki",20606933.3089218,1796522.81670807,4042176.33759315,1898597.97674829,3723701.83826763,8329333.05928283,0,816601.280321848
"Makimae",24296822.7838001,410650.525923382,4311830.52219551,1971122.52443224,2751358.52368666,7870801.74686484,547534.03456451,6433524.906133
"Nguna",60287100.8267925,4271502.37961639,6407253.56942457,3888540.09730595,3225720.76253789,13182740.1026091,2356690.96806421,26954652.9472343
"Emau",22294077.8208216,0,4487196.12082595,1622293.98214477,5752815.53952046,920450.48632327,5829519.74671405,3681801.94529308
"Malorua",204383329.271162,51888172.311652,3991397.87012708,5060522.29962539,7070476.22708225,5416897.10945818,78307424.8805884,52648438.5726285
"North Efate",158871638.24937,14039247.8293931,6054425.62642578,7317957.93107117,6422955.88194737,2369123.07121009,60719746.8621251,61948181.0471972
"Mele",206163710.807933,24411537.6803332,1655019.5037514,7023489.01904502,1158513.65262598,758550.605886059,118885567.686143,52271032.6601485
"Tanvasoko",551564471.488083,187643602.674357,26576460.2987344,2738711.49416727,10431733.2408063,8230118.68752325,271323035.381425,44620809.7110703
"Ifira",89645657.5673348,30923121.2410523,0,235455.237876033,329637.333026445,1491216.5065482,53683794.2357354,2982433.0130964
"Pango",153347005.783321,49117662.0044295,832502.745837789,1165503.8441729,41625.1372918894,1040628.43229724,78810259.9393108,22338823.6799808
"Erakor",761091179.896249,244289927.670057,7240044.22731823,13652654.8286572,33924778.6651483,35855457.1257664,345552042.84942,80576274.5298818
"Eratap",262013420.364068,40117049.3095705,18788997.7779001,12898393.069153,22292891.9581031,12187458.0180974,120858958.679465,34869671.5517786
"Eton",119441499.779203,30468071.4519014,3621205.21354565,5219530.27331753,18280842.8711408,6409949.45846013,21976969.5718633,33464930.9389737
"Tafea",1129876750.58787,673647523.874807,23935285.228076,17427132.8967432,192284572.050843,142547639.94623,73490262.1196654,6544334.47150727
"North Erromango",31737575.4333363,20214616.3377199,0,1177093.34264673,2749690.04842277,4331703.50093998,2511132.46431304,753339.73929391
"South Erromango",5295096.33052688,4212382.41334643,0,582493.505595561,236946.510750737,0,263273.900834152,0
"Aniwa",7581886.21278503,0,86092.5762239025,998673.884197267,757614.670770342,5624714.97996165,0,114790.10163187
"North Tanna",70449375.735327,39631816.4139975,176402.743682481,1746387.16245656,22015062.4115737,4762874.079427,705610.974729926,1411221.94945985
"West Tanna",407152090.137049,222472862.384526,8543372.13966952,7753757.44191218,63013841.7816837,46168728.2295273,56265440.7582276,2934087.40150267
"Middle Bush Tanna",107056026.878297,43546596.6183695,3489693.01667755,4339746.44381695,24123621.469135,26903445.3080611,4056395.30143716,596528.720799581
"South West Tanna",177385033.854128,121430890.128631,7243359.03471418,202814.052971997,27582711.2041916,17963530.4060912,2832958.20024378,128770.827283808
"Whitesands",228082166.327636,159604294.488431,3414818.17428987,286106.387575637,39427306.0555845,21288776.3658431,3691695.3235566,369169.532355661
"South Tanna",53228575.2780471,34941340.8889071,569695.775362617,94949.2958937697,4139789.30096835,11077417.8542731,2278783.10145046,126599.061191693
"Futuna",12747073.5864154,8482802.19092724,0,6237.35455215238,99797.6728344381,3492918.54920533,665317.818896254,0
"Aneityum",29161850.8143244,19109922.0099518,411851.767455857,238874.025124397,8138190.92492775,933530.67289994,219654.275976458,109827.137988229
