"Region","total_financial","private_households_financial","roof_concrete_financial","roof_metal_financial","roof_wood_financial","wall_concrete_financial","wall_metal_financial","wall_wood_financial","freezer_financial","refrigerator_financial","tv_financial"
"North Tongoa",1359364883.85303,1359364883.85303,0,27626378.5220111,0,1071441296.29093,253504411.279291,5252163.21711238,1008415.33768558,91037.4957632813,441181.71023744
"Tongariki",1131368409.83471,1131368409.83471,408300.640160924,21313293.4164002,0,918676440.36208,187818294.474026,1224901.92048277,783937.229108975,0,1143241.79245059
"Makimae",1049054677.6993,1049054677.6993,342208.771602818,20429863.6646882,0,862366104.439102,151940694.591651,10608471.9196874,1396211.7881395,533845.683700397,1437276.84073184
"Nguna",2999824568.58966,2999824568.58966,6259960.38392056,42420437.4251558,0,2706512283.63624,231250301.241301,5155261.49264046,3976916.00860835,1053146.27635369,3196262.12543709
"Emau",1299691427.5299,1299691427.5299,1534084.14387212,18639122.3480463,15340.8414387211,1162068738.98313,115056310.790409,383521.035968028,1196585.63222025,99715.4693516873,698008.285461814
"Malorua",5483933587.01979,5483933587.01979,7127496.19665548,93370200.1761869,57019.9695732439,4704147489.79263,606312343.128827,13304659.5670903,22009708.2552722,17913773.7742608,19690896.1592936
"North Efate",5276932081.634,5276932081.634,5264717.93602244,81866363.9051487,0,4606628194.01963,526471793.602243,11845615.3560505,14846504.5795833,13916404.410886,16092487.8244419
"Mele",6230534695.22473,6230534695.22473,7585506.05886059,83578484.9394459,262044.754760639,5678785672.247,382033668.782616,8275097.51875702,18701720.3923909,27611242.0542526,23701258.4766399
"Tanvasoko",10742620802.2659,10742620802.2659,18713272.0311824,185391513.005159,137814.332477807,9278981473.64457,1125521984.53699,18024200.3687933,20421235.6583432,55573215.3790953,39856093.3093004
"Ifira",1351983975.88418,1351983975.88418,14519739.669022,20720060.9330908,62788.0634336085,1177276189.38016,97321498.3220932,12557612.6867217,7063657.13628097,12243672.3695536,10218757.3238198
"Pango",3184586628.69905,3184586628.69905,4856266.01738709,44851085.4320108,0,2840915620.17145,249750823.751335,4856266.01738709,8075276.63462654,20111878.8348645,11169411.8399903
"Erakor",17148916512.8306,17148916512.8306,20685840.6494806,311174145.770045,78803.202474212,14273230048.1417,2281352711.62844,58609881.8401954,45154235.0177235,73887852.719883,84742993.8607059
"Eratap",9634574884.88154,9634574884.88154,15657498.1482501,156405711.232249,50781.0750754056,8124972012.06491,1225516611.81979,25813713.1633312,20007743.5797098,31137262.5337362,35013551.2644922
"Eton",3439737046.99374,3439737046.99374,3329843.87452474,65806039.5702951,99895.3162357421,2622252051.18823,700932135.587457,26638750.9961979,5394347.07673008,4328797.03688216,10955186.3471864
"Tafea",18440010390.1293,18440010390.1293,97813854.0963567,287200875.888732,5123627.96562349,15667532495.7882,2113700135.40635,199416246.36182,25418356.0489325,23263430.2675782,20541368.3057435
"North Erromango",527632875.570294,527632875.570294,1255566.23215652,15349297.1881134,50222.6492862606,395503363.129303,81611805.0901735,32016938.9199912,1506679.47858782,163223.610180347,175779.272501912
"South Erromango",104480247.546033,104480247.546033,0,3652925.37407386,39491.0851251228,69109398.9689648,13163695.0417076,18429173.0583906,0,85564.0177710994,0
"Aniwa",309697954.697705,309697954.697705,860925.762239028,5854295.18322538,11479.010163187,215231440.559757,86092576.2239027,860925.762239028,0,746135.660607155,40176.5355711545
"North Tanna",860686626.701195,860686626.701195,3822059.44645375,29900265.0541806,329285.121540632,643870014.441057,174050707.100049,6762105.17449513,705610.974729924,382205.944645376,864373.444044159
"West Tanna",9204896663.01365,9204896663.01365,49620595.7607068,113005513.301992,2260973.23292265,8219759558.62147,738699651.672437,25889006.483847,19986313.00553,19969053.667874,15705997.2668672
"Middle Bush Tanna",2486415222.31356,2486415222.31356,9246195.17239353,40802564.5026914,1228849.16484714,2129607533.2545,294685188.074993,9246195.17239353,214750.339487849,465292.402223673,918654.230031356
"South West Tanna",2058124816.85301,2058124816.85301,21247186.5018283,25689780.0431197,914272.873715035,1825326476.74798,139072493.466512,44747862.4811232,463574.978221708,167402.07546895,495767.685042661
"Whitesands",1734813772.0968,1734813772.0968,8306314.47800238,20673493.811917,246113.021570441,1310551839.8626,363016706.8164,28610638.7575637,1181342.50353812,719880.588093537,1507442.25711895
"South Tanna",800840341.28641,800840341.28641,2215483.57085462,14812090.159428,12659.9061191693,664645071.256387,103811230.177188,14558892.0370446,303837.746860063,82289.3897746005,398787.04275383
"Futuna",81093925.6507172,81093925.6507172,415823.63681016,4116654.00442057,8316.47273620318,37424127.3129143,34929185.4920533,3742412.73129142,199595.345668876,54057.0727853207,203753.582036978
