"Region","total_households","elec_battery lamp","elec_generator","elec_main grid","elec_no access","elec_solar system","cook_bottle gas","cook_open fire","cook_solar power","cook_electricity","cook_wood stove"
"South Pentecost",1580.05204049829,94.7771560857643,5.19326882661722,0,627.087210814029,849.099453151916,18.1764408931603,1496.95973927241,50.6343710595179,0,6.49158603327153
"Malampa",10353.2774827892,1474.25300500961,45.1208503472649,1048.32246954901,1165.55449792978,6566.93784009359,77.2159118040127,9050.97510782788,790.359487879581,216.416901205589,103.237241218495
"North West Malekula",1188.86767401795,121.331345239537,0,0,196.640456077871,862.916895022569,2.09191974550926,1013.53511669924,99.3661879116899,0,62.7575923652778
"North East Malekula",1539.62290420528,220.572756320821,2.00520687564383,406.054392317875,74.1926543988216,831.158249954367,10.0260343782191,1147.98093630609,229.596187261218,135.351464105958,4.01041375128765
"Central Malekula",1541.65738237234,89.4547232163757,2.12987436229466,529.273779030223,38.3377385213038,872.183551359664,37.2728013401566,1348.21047133252,31.9481154344199,77.7404142237551,15.97405771721
"South West Malekula",935.199541294908,229.622671962905,0,87.3686264053978,8.96088475952797,607.099942458019,5.60055297470498,893.848254762915,32.4832072532889,0,1.120110594941
"South East Malekula",1153.86214879327,54.3003325234527,11.4866088030381,19.8405061143385,108.600665046905,952.344293488249,4.17694865565021,1108.97986807513,27.1501662617264,2.08847432782511,1.04423716391255
"South Malekula",1202.44366657817,195.158559498525,3.63649489748804,0,224.250518678429,778.209908062439,1.21216496582935,992.763107014235,195.158559498525,0,2.42432993165869
"North Ambrym",1007.7042284521,233.707675581689,2.47309709610252,0,119.945209160972,645.478342082758,6.1827427402563,922.465216846241,65.5370730467167,1.23654854805126,1.23654854805126
"West Ambrym",385.450635837244,41.9457022596825,1.23369712528478,0,53.0489763872455,287.451430191353,2.46739425056956,351.603680706162,19.1223054419141,0,9.86957700227821
"South East Ambrym",605.948867341972,87.6068281257728,4.80037414387796,0,222.017304154356,290.422635704617,2.40018707193898,548.442745938057,36.0028060790847,0,4.80037414387796
"Paama",792.520433895933,200.55241028085,17.355497043535,5.78516568117834,119.560090744352,439.672591769554,5.78516568117834,723.145710147292,53.9948796909978,0,0
"Shefa",24030.8306358174,786.580575746171,123.917852634246,13686.8195449594,1641.94147293303,7652.75451051105,6374.30023428596,12945.0085926982,654.676129958027,2807.569832002,658.943916864851
"Port Vila",8958.28660829032,138.053981065191,17.1307859715931,7719.93831343381,234.79253714007,778.946915061263,4099.29631367298,2458.77163356984,121.930888386045,1629.44005388624,248.900243234323
"Vermali",620.505261352837,71.1860720481266,7.11860720481267,2.37286906827089,39.1523396264697,497.116069802751,4.74573813654178,595.590136135993,13.0507798754899,1.18643453413544,2.37286906827089
"Vermaul",467.791975723459,0,3.80318679449967,2.53545786299978,191.427068656483,270.026262409477,3.80318679449967,392.995968764966,64.6541755064944,3.80318679449967,1.26772893149989
"Varisu",610.02408994337,19.6359685604089,2.61812914138785,0,47.1263245449814,538.025538555204,0,579.915604817409,26.1812914138785,0,1.30906457069393
"South Epi",470.290296930793,131.626438791126,9.59776116185292,0,191.955223237058,134.368656265941,1.37110873740756,327.694988240407,46.6176970718571,4.11332621222268,87.7509591940839
"North Tongoa",327.891570980372,2.00082408270948,0,0,3.00123612406422,319.131441192161,2.00082408270948,314.129380985388,7.00288428948318,0,1.00041204135474
"Tongariki",237.737908455605,26.8311849248607,0,1.16657325760264,18.6651721216422,187.818294474025,0,230.981505005323,1.16657325760264,0,2.33314651520528
"Makimae",232.625876024746,11.7328721692395,0,0,0,219.99135317324,0,227.813267952733,3.9109573897465,0,0
"Nguna",468.181911066327,43.1358614690324,3.15628254651457,0,6.31256509302913,415.577201957752,10.5209418217152,450.296309969412,1.05209418217152,0,3.15628254651457
"Emau",197.239389926415,50.4056218700839,1.09577438848008,0,3.28732316544025,142.450670502411,1.09577438848008,155.599963164172,36.1605548198428,0,4.38309755392034
"Malorua",1023.64421567205,57.0199695732439,0,476.524031433539,12.2185649085523,462.947848201814,111.324702500143,669.30583332403,62.4504428659338,153.41087051849,5.4304732926899
"North Efate",872.350722672883,17.5490597867415,46.3796580078165,367.276751251088,65.1822220650396,367.276751251088,60.1682049831134,676.892306060026,20.0560683277044,90.2523074746701,11.2815384343338
"Mele",887.60272195239,10.8364372269437,5.9107839419693,733.922339461188,31.5241810238363,104.423849641458,227.565181765818,432.472358420754,20.6877437968926,196.041000741982,3.94052262797954
