"Region","total_households_affected","island cabbage_households_damaged","island cabbage_production_damaged","banana_households_damaged","banana_production_damaged","taro_households_damaged","taro_production_damaged","kumala_households_damaged","kumala_production_damaged","manioc_households_damaged","manioc_production_damaged","yam_households_damaged","yam_production_damaged"
"South East Ambrym",605.948867341972,57.6202286581553,30281.0001182896,57.3998836154855,59110.5705948147,101.799409713452,54956.5911532281,42.5265932352733,8164.75528456749,50.2386697287166,9193.6765603552,37.5688297752026,24212.0240357955
"Paama",792.520433895933,71.5763006884227,6481.64659850681,70.0411521481885,5969.80888583598,71.1925135533642,8467.27680213014,60.8302609067828,10079.0817054305,66.9708550677199,7141.15280784372,62.3654094470171,11443.7647931763
"Shefa",24030.8306358174,9532.97809547528,953100.864863638,10372.5169846924,1605993.53749972,12360.6989502028,2709073.12476154,4161.89717612113,914957.623647882,8498.95944816811,1392457.16366892,5941.90237017583,1705365.48870878
"Port Vila",8958.28660829032,2424.4809975654,128177.532976692,2729.76647536599,131728.338618872,2537.23222154791,275006.72494415,798.489662238702,83690.921459768,2031.50012333397,190966.54141079,1002.23310206674,103742.222038131
"Vermali",620.505261352837,380.370911643823,28191.1928300106,408.608053556247,133329.962358435,699.284514419431,235069.420743409,118.762096866958,20419.3841075844,180.219405735174,17176.9971389358,401.964020165088,281888.83863951
"Vermaul",467.791975723459,277.759408891626,19116.3632192576,311.480998469523,73796.3907362983,541.320253750453,196469.452348923,146.422691588237,20924.864649932,202.329537467382,30231.7184009056,260.898614102678,93287.4288493196
"Varisu",610.02408994337,400.442852175272,34379.4970687393,400.442852175272,71428.2556165899,733.992504788088,154586.929802262,184.185385096635,17519.8257209637,351.876556602528,41211.5353783705,312.47371302464,50753.5633352218
"South Epi",470.290296930793,314.806566108776,24066.8419267529,314.806566108776,43795.807173844,596.020968151066,129558.837102472,226.507163419729,25074.4158565099,298.490372133626,42367.7671925252,265.857984183326,39953.1248948581
"North Tongoa",327.891570980372,143.370354531821,19866.8325850497,169.676841601879,31048.6880742818,290.686682124149,77630.1236468527,129.55944882004,28932.4164419999,174.280476839139,57577.7146281317,140.082043648063,61738.1281845133
"Tongariki",237.737908455605,89.6673572531184,11203.3578909901,108.66467870505,17014.6165427641,169.456107351233,61203.7854476335,74.4695000915733,17580.2782742744,112.464142995437,34285.6121436948,98.0261786919688,76718.3810246805
